concept,rank,neighbor,neighbor_category,cosine_similarity
excitement,4,surprise,emotion,0.5226042
excitement,5,fear,emotion,0.4818226
computer,1,software,technology,0.6038102
computer,2,smartphone,technology,0.54327595
computer,3,robot,technology,0.51059693
computer,4,network,technology,0.47537428
computer,5,sensor,technology,0.46677017
smartphone,1,computer,technology,0.54327595
smartphone,2,network,technology,0.43270785
smartphone,3,internet,technology,0.41889453
smartphone,4,software,technology,0.4090087
smartphone,5,sensor,technology,0.39710516
robot,1,computer,technology,0.51059693
robot,2,sensor,technology,0.3691944
robot,3,programmer,profession,0.30145848
robot,4,engineer,profession,0.2876984
robot,5,hockey,sport,0.28703988
internet,1,network,technology,0.5234633
internet,2,computer,technology,0.4283212
internet,3,cloud,technology,0.42727643
internet,4,smartphone,technology,0.41889453
internet,5,software,technology,0.30507264
algorithm,1,computer,technology,0.24438928
algorithm,2,database,technology,0.22598997
algorithm,3,programmer,profession,0.21879767
algorithm,4,software,technology,0.20923945
algorithm,5,robot,technology,0.20583981
database,1,software,technology,0.4121313
database,2,network,technology,0.36067143
database,3,cloud,technology,0.35547435
database,4,computer,technology,0.35362816
database,5,programmer,profession,0.31256393
software,1,computer,technology,0.6038102
software,2,database,technology,0.4121313
software,3,smartphone,technology,0.4090087
software,4,network,technology,0.35433364
software,5,programmer,profession,0.31565303
sensor,1,computer,technology,0.46677017
sensor,2,network,technology,0.4155529
sensor,3,smartphone,technology,0.39710516
sensor,4,robot,technology,0.3691944
sensor,5,software,technology,0.29990178
network,1,internet,technology,0.5234633
network,2,computer,technology,0.47537428
network,3,smartphone,technology,0.43270785
network,4,sensor,technology,0.4155529
network,5,database,technology,0.36067143
cloud,1,internet,technology,0.42727643
cloud,2,database,technology,0.35547435
cloud,3,network,technology,0.3313212
cloud,4,computer,technology,0.31768534
cloud,5,software,technology,0.2559474
